1,利玛,105
2,宫子,125
3,空花,130
4,纯,135
5,大江户空花,140
6,香织,145
7,新年怜,153
8,涉谷凛,153
9,佩可,155
10,公主佩可,155
11,流夏,158
12,新年可可罗,159
13,望,160
14,矛依未,162
15,真琴,165
16,嘉夜,168
17,新年日和,170
18,大江户尼诺,175
19,秋乃,180
20,泳装真琴,180
21,茉莉,185
22,克罗伊,185
23,情人节惠理子,187
24,圣诞铃音,190
25,纺希,195
26,日和,200
27,禊,205
28,铃音,210
29,万圣禊,212
30,珠希,215
31,智,220
32,泳装珠希,225
33,惠理子,230
34,泳装佩可,235
35,胡桃,240
36,吉塔,245
37,怜,250
38,圣诞伊利亚,255
39,万圣克里斯蒂娜,265
40,静流,285
41,克里斯蒂娜,290
42,万圣胡桃,295
43,美美,360
44,忍,365
45,万圣美美,365
46,岛村卯月,370
47,情人节静流,385
48,真阳,395
49,优花梨,405
50,莫妮卡,410
51,尼诺,415
52,万圣望,418
53,美冬,420
54,伊利亚,425
55,泳装香织,425
56,咲恋,430
57,杏奈,440
58,万圣忍,440
59,泳装美冬,495
60,可可罗,500
61,步未,510
62,古雷亚,525
63,泳装可可罗,535
64,雷姆,540
65,拉姆,545
66,铃,550
67,深月,565
68,茜里,570
69,依里,575
70,泳装咲恋,585
71,万圣宫子,590
72,亚里沙,625
73,安,630
74,露,640
75,似似花,660
76,插班生碧,680
77,新年凯露,690
78,本田未央,695
79,璃乃,700
80,玲奈,705
81,泳装玲奈,705
82,栞,710
83,魔法少女栞,712
84,伊绪,715
85,泳装伊绪,715
86,铃莓,720
87,新年铃莓,722
88,艾米利亚,725
89,霞,730
90,魔法少女霞,730
91,美里,735
92,七七香,740
93,新年优衣,745
94,凯露,750
95,初音,755
96,美咲,760
97,露娜,765
98,万圣千歌,770
99,泳装铃莓,775
100,泳装凯露,780
101,碧,785
102,千歌,790
103,泳装真步,792
104,真步,795
105,优衣,800
106,雪,805
107,优尼,807
108,镜华,810
109,万圣美咲,815
110,万圣镜华,820
